Itr,MaxReturn,MinReturn,EnvExecTime,Average reward,PolicyExecTime,StdReturn,Average latency,NumTrajs,Average greedy latency,AverageDiscountedReturn,AverageReturn
12,-2.5566681235197355,-17.893080513710302,0.8855113983154297,-8.263214513062534,2.4764041900634766,2.6912692502413837,503530017.70461506,10000,210587917.4202145,-7.5601606192881725,-8.217752964947554
13,-2.4608438069983882,-18.965294530286407,0.9090940952301025,-7.893037029493196,2.4950451850891113,2.834833939393345,488029140.4914382,10000,216309537.53537953,-7.292830127102988,-7.932065879787879
14,-2.2413328443610916,-17.962301005951097,0.9227421283721924,-7.908940896740522,2.4529945850372314,2.9586137822795497,360392.4437190198,10000,372688.1523875224,-7.241080394362841,-7.887061345763866
15,-2.3048317924603934,-18.212325422398013,0.9179720878601074,-7.6197169817086206,2.4987823963165283,2.911454763507904,10817069.97941108,10000,6333113.548268367,-7.0535278812979305,-7.670125780055327
16,-2.4147885677959295,-18.10259795229701,0.8997108936309814,-7.832865054283955,2.4936461448669434,2.6693697178629145,12118410.069484407,10000,216420047.27808514,-7.172290790522448,-7.817966545780316
17,-2.590730958677639,-18.549752154909285,0.857459545135498,-8.51576720372473,2.473334312438965,2.8209763117824087,882391.479687986,10000,216319580.79528207,-7.733287398267988,-8.45532810114661
18,-2.950880018840865,-19.09979487512051,0.8418722152709961,-9.29379657827797,2.4906578063964844,2.9810766642407147,535287544.97890496,10000,210606910.40934402,-8.554982090804085,-9.379165583164943
19,-3.6886455563733516,-19.490414186451154,0.8343265056610107,-9.94143673830436,2.500393867492676,3.077828740259722,15679701.7094171,10000,216240014.64706272,-9.138705739409748,-10.0321431756995
20,-3.2893035859362474,-19.143507379423156,0.8216986656188965,-9.8293280534399,2.471515417098999,3.085474820621584,585789744.2294375,10000,216378048.17613083,-8.86574579400441,-9.735082389799299
21,-3.66165346790181,-19.45290563958175,0.8319859504699707,-9.478500113847788,2.5244548320770264,3.0387208762651094,14495376.96382734,10000,216351023.1804547,-8.656712845329007,-9.514126367863009
22,-2.6358208641926284,-19.224469851319835,0.8475053310394287,-8.822800143452623,2.4840152263641357,3.02250770912944,432238.6089986077,10000,216285806.61212566,-8.132352629698998,-8.934712976822205
23,-2.502907760328756,-19.57470927335854,0.8644771575927734,-8.48658811929207,2.498938798904419,3.0073434332137716,585959.1011760719,10000,210558956.7171639,-7.745950109376771,-8.487994467809358
24,-2.237754623818225,-19.352587735770584,0.8822309970855713,-8.364152279796647,2.491872549057007,3.0424350016510417,216354.0556575046,10000,594106.3427485276,-7.646488570144331,-8.37106559697185
25,-2.3641247300227413,-19.111892894974883,0.9093999862670898,-7.84883213395372,2.5147125720977783,2.9873737037442973,545795598.2060362,10000,210582692.689397,-7.165698746782726,-7.808290116377173
26,-2.1922915417056665,-18.390163478295783,0.9362499713897705,-7.691604258489143,2.5100066661834717,3.019813948051803,565858513.8701253,10000,216392962.2514166,-7.059893320931302,-7.676841223885253
27,-2.2421849646940637,-18.38942932670188,0.9397232532501221,-7.918332007157217,2.488924503326416,3.2133957468662246,503282.8783409509,10000,6304460.892903068,-7.188939658840037,-7.8111090732432
28,-2.141738470245699,-18.48646535661858,0.9464101791381836,-8.065956371905708,2.4936845302581787,3.3293431753695124,449353.5274181145,10000,6243367.439969279,-7.365441921464916,-8.007094294934374
29,-2.162398722412064,-17.962035620095723,0.949573278427124,-8.092909170006422,2.5033111572265625,3.3665191829731107,201584.28735459966,10000,6415043.84090282,-7.4411542229237195,-8.097907017719143
30,-2.2413328443610916,-18.67454696429444,0.9516963958740234,-8.15193580138068,2.4840376377105713,3.357236944553303,506982.4717522688,10000,210525484.79282993,-7.450065620423365,-8.110003519613219
31,-2.162905334802441,-18.586533763314765,0.9462995529174805,-7.737266863797058,2.4629669189453125,3.26426620714344,586227066.7383864,10000,210366900.44201162,-7.242674845353264,-7.873969014355853
32,-2.204398914314703,-18.58701704684218,0.9439246654510498,-7.994715521575656,2.4905178546905518,3.2556292365086392,10755402.165734774,10000,216484166.20609632,-7.3103701870134605,-7.9370300388532105
33,-2.2011637643542907,-18.486982855375015,0.9591383934020996,-7.904007729312341,2.4587314128875732,3.271263825387286,871153.4001582329,10000,210468765.0208931,-7.242910360246071,-7.860365133037587
34,-2.227876133431406,-18.336931568407174,0.934246301651001,-7.890896610034352,2.4983789920806885,3.171023619348792,586177162.3681802,10000,216429953.44853038,-7.222879627711979,-7.838073989575236
35,-2.287491625865983,-17.861037818262282,0.9466474056243896,-7.724161160262974,2.5044946670532227,3.1321660112066794,557676796.16229,10000,210508562.90912098,-7.130823797769509,-7.74466939819564
36,-2.141738470245699,-18.139258311359363,0.9260632991790771,-7.546245335025247,2.5012738704681396,2.9917487259784425,569292112.1943487,10000,216129899.0920616,-7.014597167791522,-7.616891461285192
37,-2.237754623818225,-17.836020717287205,0.9278976917266846,-7.7605152319793484,2.5010287761688232,3.007003242231702,11060624.67774173,10000,216233430.5216799,-7.044318466134439,-7.659792994858301
38,-2.3491788416643162,-18.111854637722498,0.9117660522460938,-7.653611404114048,2.5054209232330322,2.9757768113258214,533730178.0893132,10000,210495061.8759535,-7.0305238372556165,-7.656017609204485
39,-2.338834060581208,-18.7122065574838,0.907353401184082,-7.7163261103972935,2.485084295272827,2.985491344769747,10374364.403779168,10000,216301888.4028135,-7.060144216410446,-7.679952708784143
40,-2.166465838175043,-17.836020717287205,0.9214341640472412,-7.661442203458585,2.4941654205322266,3.0006051777791996,559124900.4751189,10000,210264323.4155641,-7.077415667261614,-7.706987427929147
41,-2.323212557036929,-18.824732198085112,0.8949146270751953,-7.8238289637771405,2.4880971908569336,2.943554957934566,443077.81423321104,10000,6460497.028397649,-7.174486227657078,-7.828347756862696
42,-2.371391647383694,-18.602943483111595,0.8876783847808838,-7.875003658910602,2.4998137950897217,2.9594108688672587,11064509.133817364,10000,6243878.209674976,-7.29632371346626,-7.972542478368423
43,-2.5852884796217745,-19.19981766677915,0.8721282482147217,-8.264398882082219,2.5026309490203857,2.837060562558861,326606.05814961763,10000,216141545.912315,-7.4194268717523695,-8.12796662297166
44,-2.512066573392411,-19.674777680054724,0.8544533252716064,-8.418810590748912,2.496405839920044,2.9009833087659653,11937902.906814536,10000,6310979.728838026,-7.7046563858787005,-8.45191643711394
45,-2.675115363295488,-18.44978805696091,0.8538775444030762,-8.678087474781332,2.5013139247894287,2.8807735213806023,521998374.52485293,10000,216294911.04177752,-7.910496990588312,-8.671270451947592
46,-2.6431918580933083,-19.521481871724376,0.8570501804351807,-8.493716402034986,2.4996578693389893,2.8634039254979378,12501770.403987253,10000,6424391.253560799,-7.676636049164261,-8.418325392748764
47,-2.795223868849068,-18.46538043783396,0.8597412109375,-8.5249271575166,2.4994144439697266,2.8448453036239085,461349.5452673383,10000,210482296.53749722,-7.788377593309451,-8.539206811074083
48,-2.856896974925743,-19.674777680054724,0.873687744140625,-8.371987057134488,2.4780144691467285,2.8779295592694147,583723.7311812831,10000,6409096.703253775,-7.645488884202979,-8.377646362406075
49,-2.2091591536147286,-19.09032301985108,0.879774808883667,-7.997097281241679,2.469482183456421,2.756008151206351,549272485.7297554,10000,216344526.53571528,-7.344171556781393,-8.033171882394226
