PolicyExecTime,Average latency,NumTrajs,AverageDiscountedReturn,Average greedy latency,Itr,EnvExecTime,MaxReturn,MinReturn,StdReturn,Average reward,AverageReturn
2.4837746620178223,13391655.711703569,10000,-8.130215373329193,6243878.209674975,0,0.8827426433563232,-2.402039263085673,-18.824196227330983,2.9808438793731695,-9.236827623208136,-8.847048663678166
2.417592763900757,518375.6768513643,10000,-7.481266117840764,685582.5196708975,1,0.932034969329834,-2.5571035967849673,-18.674773520865386,2.755745892156288,-8.163961168256703,-8.128190989533131
2.506852149963379,12139760.069308614,10000,-7.404975306472382,6466239.981497653,2,0.9150588512420654,-2.414516547820098,-17.598358251593456,2.7053778075755077,-8.073078526558719,-8.054464973349743
2.505232810974121,454664.1043151553,10000,-7.319145383998335,6448955.23924936,3,0.9229204654693604,-2.4484220134501875,-18.724709406426467,2.8235586194781837,-7.972882677774172,-7.958755399989407
2.514270782470703,366730.3544322833,10000,-7.291878450620799,210435919.7809072,4,0.9649088382720947,-2.058284397665985,-17.762398025951704,2.8887794834549054,-7.932721281049348,-7.9332009286120355
2.5055344104766846,680687.4576731361,10000,-7.283729816403947,6512167.8995317,5,0.967278003692627,-2.3071961542939188,-18.577544111817243,2.9571807576367415,-7.995988541008381,-7.9283537131577
2.5052316188812256,11293054.245038169,10000,-7.447887705044955,216465495.70684513,6,0.9660642147064209,-2.227876133431406,-18.752746098026446,3.071002644304149,-8.05531134019459,-8.120838773968638
2.495300054550171,394585.05172455974,10000,-7.538649675578671,6142629.1522033,7,0.9581189155578613,-2.2301103924724512,-19.01788924016014,3.2256512329434366,-8.276605187234404,-8.226928885781902
2.488421678543091,780185.7810837734,10000,-7.85568928820921,6331104.013704968,8,0.976417064666748,-2.1365274439958544,-19.049675181946956,3.4503924105005352,-8.679120229277189,-8.602700083984546
2.484776735305786,515342.4902990944,10000,-8.116431927567072,210408749.16994855,9,1.004260778427124,-2.0745430421120523,-19.111892894974876,3.596538387611374,-8.81514777061237,-8.89637237914139
2.496105194091797,578252.2138483453,10000,-8.400221684532822,6365501.693731674,10,1.0091164112091064,-2.162905334802441,-19.03740599667719,3.600007634045848,-9.178653303732307,-9.223336169335983
2.4573915004730225,659319086.6100526,10000,-8.494316142691627,216189849.65355837,11,0.9965929985046387,-2.3612187764611074,-19.23732621364855,3.7993945625135592,-9.223558147244312,-9.320993223435037
2.4801881313323975,13714292.903051173,10000,-8.682619826936586,6521796.288483391,12,1.0286588668823242,-2.3993918830356225,-19.04989175198997,3.8075919851640068,-9.388359820628178,-9.53472842420805
2.5022315979003906,662885335.6572386,10000,-8.684388311808497,210321466.693808,13,1.0408744812011719,-2.316299171484342,-19.04989175198997,3.795912350267812,-9.495159934671788,-9.541092924262207
2.441190242767334,310230.16350641643,10000,-8.779618959352101,210527054.49308807,14,1.058915138244629,-2.7280490421828274,-18.849887684339834,3.8024610466453366,-9.574018711513357,-9.650228243506
2.4568920135498047,1222250.0182563008,10000,-8.779723383501604,210578078.13405615,15,1.0133576393127441,-2.7566502527875456,-18.58736204707491,3.8690175893926106,-9.70183694748128,-9.652137572016072
2.478806495666504,674514091.5647696,10000,-8.790439097734481,210407179.46216658,16,1.0174710750579834,-2.7566502527875456,-18.67454696429444,3.841427371669514,-9.59889874258471,-9.660896175393827
2.5056235790252686,924416.0803979896,10000,-8.847249482275299,210559223.68402597,17,1.012237548828125,-2.7566502527875456,-18.58736204707491,3.9508215520209307,-9.740008596544756,-9.719597062350854
2.466841459274292,314084.517389048,10000,-8.698555354469365,216097071.1122931,18,1.0121333599090576,-2.7566502527875456,-18.58733905230088,3.8471473866785346,-9.580924307310294,-9.550842726864566
