MaxReturn,Average latency,AverageReturn,NumTrajs,Average greedy latency,StdReturn,PolicyExecTime,MinReturn,AverageDiscountedReturn,Itr,Average reward, EnvExecTime
-3.2039195772894966,1102.2417597065544,-7.629404437665298,10000,843.0989974964688,1.6090142925634459,1.5183804035186768,-13.393072365795238,-7.04878258460808,0,-7.626527426847094,0.8767006397247314
-1.8348163987495696,986.3870339619447,-7.319397130020196,10000,843.0989974964688,1.73831968910764,1.5017037391662598,-12.797590392371616,-6.761612001793078,1,-6.841473709395371,0.9020905494689941
-2.388793031310989,1101.3950774303926,-7.515478827924699,10000,843.0989974964688,1.8380993095857405,1.5029222965240479,-13.01079136160461,-6.934552568193544,2,-7.520869574033809,0.9096603393554688
-2.444815847113862,1124.241938061161,-7.720171771842326,10000,843.0989974964688,1.9129031993096632,1.5220654010772705,-13.40909872932259,-7.116497580346704,3,-7.769286531296291,0.9252166748046875
-2.208906813750447,1027.9269850963565,-7.970021588267853,10000,843.0989974964688,1.9672419177319964,1.517348289489746,-13.637308121169587,-7.339751016471861,4,-7.073692754014108,0.9331834316253662
-2.3697368185207517,1232.943555582071,-8.238003181036623,10000,843.0989974964688,2.009761080716461,1.4860069751739502,-13.888549958629847,-7.577378121453591,5,-8.622719313446456,0.9458537101745605
-2.2986325821480604,1242.0243615587942,-8.496977666798797,10000,843.0989974964688,2.02741056695819,1.5318467617034912,-13.785602198840202,-7.807854640288056,6,-8.660295218858632,0.9636149406433105
-2.4926112684968276,1243.3461084086525,-8.748050265034403,10000,843.0989974964688,2.079844854773984,1.5280218124389648,-14.0704955704081,-8.031493358155949,7,-8.603651054258627,0.9653747081756592
-2.494797433640808,1276.3380507186725,-8.961795344329843,10000,843.0989974964688,2.090478201372662,1.5406053066253662,-13.877630857716303,-8.222397021420154,8,-8.883738232129032,0.9651124477386475
-2.2986325821480604,1215.2088867418154,-9.117379295587156,10000,843.0989974964688,2.0939443835655576,1.5157978534698486,-14.318056746411719,-8.361707468393558,9,-8.365788777801303,0.9787883758544922
-2.6838433268908224,1173.0937111373219,-9.225124519103483,10000,843.0989974964688,2.097593300764128,1.52018404006958,-13.919832025671232,-8.457754846566452,10,-8.203522321561753,0.9747378826141357
-2.8212334480469767,1143.1159200931738,-9.304186726480713,10000,843.0989974964688,2.0996662556431724,1.497077226638794,-13.90240876609153,-8.52819543872424,11,-7.967617183062942,0.9733009338378906
-2.704520091637758,1421.037236746123,-9.346273547682879,10000,843.0989974964688,2.0991220172520437,1.4958548545837402,-13.919832025671232,-8.565866357940957,12,-9.79067481384293,0.9739813804626465
-2.6838433268908224,1253.2022397640444,-9.37024747105395,10000,843.0989974964688,2.100824493106999,1.5207176208496094,-13.785602198840202,-8.587201978334813,13,-8.715450282116432,0.9780893325805664
-2.8212334480469767,1334.3940344565012,-9.379813960432044,10000,843.0989974964688,2.0996919010095696,1.5307190418243408,-13.785602198840202,-8.5957180771863,14,-9.210678861792152,0.9742462635040283
-2.7210476509517103,1375.8830802858054,-9.383292828589768,10000,843.0989974964688,2.1012168610743314,1.5127172470092773,-13.785602198840202,-8.598825419924502,15,-9.56517164412858,0.9776394367218018
-2.7210476509517103,1414.8231107612173,-9.382487289633373,10000,843.0989974964688,2.100830952923763,1.5296311378479004,-13.785602198840202,-8.598156417221135,16,-9.924591007011626,0.9762072563171387
-2.8212334480469767,1424.152023371672,-9.379869351688324,10000,843.0989974964688,2.1018667505589193,1.5151324272155762,-13.785602198840202,-8.5959594533759,17,-9.84115551197176,0.9819118976593018
-2.8212334480469767,1389.5928570791655,-9.372667945465913,10000,843.0989974964688,2.1027731035182478,1.5266330242156982,-13.785602198840202,-8.589824270866105,18,-9.679645233868412,0.9777207374572754
-2.8212334480469767,1351.8580997597887,-9.345100807328606,10000,843.0989974964688,2.112682838813691,1.505422592163086,-13.785602198840202,-8.566213580512626,19,-9.37746501961918,0.9760489463806152
-2.6838433268908224,1309.7005711627523,-9.247130963610429,10000,843.0989974964688,2.108875139780866,1.50950026512146,-13.785602198840202,-8.482275606019732,20,-9.06319812554433,0.985374927520752
-2.53567524960429,1302.6410296012361,-8.901164179166374,10000,843.0989974964688,2.111596355192976,1.4994714260101318,-13.785602198840202,-8.183987244640619,21,-9.019993445044088,0.9670455455780029
-2.2986325821480604,1055.3295379585322,-8.269309826397974,10000,843.0989974964688,2.0713079059026174,1.523094654083252,-13.535575194952488,-7.634796607232059,22,-7.296605493976005,0.9491331577301025
-2.4675588994335826,1020.5946807257678,-7.7907256869724515,10000,843.0989974964688,2.0660376400337874,1.5049169063568115,-13.658859843015295,-7.217123000697572,23,-7.133739512471118,0.9241642951965332
-2.472268186011307,1074.582232256557,-7.791404766828291,10000,843.0989974964688,1.9676783833351394,1.501692771911621,-13.044919420037239,-7.2194389191202175,24,-7.399218482107345,0.9258782863616943
-2.4947974336408074,1055.7439441194397,-8.031123590338192,10000,843.0989974964688,2.0937829260905265,1.4937779903411865,-13.535575194952486,-7.43119618439854,25,-7.356295984333678,0.9376571178436279
-2.4722681860113065,1098.114834791592,-8.36011043037211,10000,843.0989974964685,2.2059963483070084,1.5057227611541748,-13.633981768092164,-7.7182718580912555,26,-7.577365779950087,0.9432790279388428
-2.472268186011307,1174.33492319646,-8.67670241876483,10000,843.0989974964688,2.33399942899532,1.5289640426635742,-13.785602198840202,-7.991369765400075,27,-8.128154457732604,0.9557855129241943
-2.494797433640808,1178.675893227795,-8.981828237409607,10000,843.0989974964688,2.1935244400056906,1.534708023071289,-13.785602198840202,-8.254738406646101,28,-8.091837118849755,0.9662833213806152
-2.711634883407003,1194.9297699107278,-9.126525949133129,10000,843.0989974964688,2.2196143034245,1.499469518661499,-13.785602198840202,-8.378634496759625,29,-8.386295475342449,0.9701399803161621
-2.494797433640808,1438.8904238376754,-9.22623735537993,10000,843.0989974964688,2.131903629582357,1.4892427921295166,-13.785602198840202,-8.464421323415236,30,-9.958463016056093,0.972442626953125
-1.8348163987495696,1304.6594022446468,-9.251176681006262,10000,843.0989974964688,2.0872817729015516,1.534907579421997,-13.785602198840202,-8.48628199764686,31,-9.086074105475555,0.9669837951660156
-2.494797433640808,1363.004228015788,-9.235240078776146,10000,843.0989974964688,2.1298812146968484,1.516364574432373,-13.785602198840202,-8.472999726750983,32,-9.505743659798268,0.9700067043304443
