Average greedy latency,MaxReturn,Average latency,MinReturn,PolicyExecTime,AverageDiscountedReturn,EnvExecTime,Itr,Average reward,NumTrajs,StdReturn,AverageReturn
114974107.88245298,-2.463766880924082,379263.44248483964,-18.94928173500224,2.4593007564544678,-7.983241510472682,0.9121439456939697,0,-9.162060792142887,10000,3.059792065598726,-8.720941403924813
753843.9622107217,-3.2676133547144626,1629648.0923854907,-18.111208833604802,2.4873266220092773,-8.483675434113158,0.8803160190582275,1,-9.302923137619167,10000,2.8096342105856897,-9.24590499457848
114926039.35845315,-3.1559784977200556,1571817.102582565,-18.689634545112906,2.487342596054077,-8.56537479602871,0.8500480651855469,2,-9.364753092421132,10000,2.8166009233545677,-9.33958957656381
666639.4676065804,-3.2435728990108195,1652925.8155148248,-18.586533763314765,2.4804043769836426,-8.860873793027777,0.8449220657348633,3,-9.658994234749207,10000,2.8876412078660048,-9.665422132097262
114430568.1302884,-3.83567058409041,307673370.25147873,-18.21188882918967,2.506899118423462,-9.111273001224426,0.8300294876098633,4,-9.927170035750764,10000,2.9438609002216003,-9.940162098785423
712799.0704361052,-4.416702076641214,408373.69235380314,-19.10241672042807,2.4970650672912598,-9.56937672253875,0.8178472518920898,5,-10.30157309430683,10000,3.107497684160769,-10.448103383379822
114434450.52144176,-4.397948031630863,319154840.7002293,-18.461448255643504,2.514984607696533,-9.769048720383262,0.8028476238250732,6,-10.609672191236736,10000,3.105099303480741,-10.668711303656414
666486.1172326126,-4.767341730289878,384746.65805153444,-18.824196227330983,2.5035908222198486,-10.22796128561044,0.7866437435150146,7,-11.213802968803813,10000,3.2438118345195024,-11.179193056662262
114887397.87207426,-4.5993173105524265,346164482.1835426,-18.23709829713112,2.496875762939453,-10.557827959596567,0.7784922122955322,8,-11.471216078511583,10000,3.295087702426963,-11.542615211446213
114963908.69469336,-5.715148372997956,444596.05777807714,-18.237299171452495,2.5040323734283447,-10.851568202684998,0.7700622081756592,9,-11.769791452230333,10000,3.3483992867387844,-11.865248078117824
114859415.11415076,-6.324439098846179,378946075.11598533,-18.949281735002245,2.4620234966278076,-11.10891863228288,0.7768115997314453,10,-12.188317877391679,10000,3.399194092713058,-12.150562413918273
114947087.3435522,-5.591818524847592,2056346.1991525209,-18.21219446682783,2.514256238937378,-11.221993339827861,0.7493171691894531,11,-12.153573307337263,10000,3.3850643164097893,-12.27268419379982
114484665.5897879,-6.6303716408217594,375443849.28399986,-18.236897376940004,2.514439821243286,-11.369912386385163,0.7753021717071533,12,-12.440405964444167,10000,3.477377733756659,-12.436918049141397
114905538.48769753,-6.869100017290036,378422.13980548736,-18.212255581817825,2.527123212814331,-11.500373734160277,0.7394812107086182,13,-12.565545572546288,10000,3.4764852048388835,-12.580044627948778
114517903.98235676,-7.089166721336642,381592906.17933357,-18.337272673998395,2.507291316986084,-11.567475327025877,0.7460834980010986,14,-12.69983452021207,10000,3.474917211755993,-12.649715163102082
114949188.93367642,-7.044803813691385,2088012.2240638726,-18.21188882918967,2.517542839050293,-11.557555289807121,0.7669310569763184,15,-12.590840937081719,10000,3.519577543044665,-12.641162485641983
114482000.587463,-7.658393256758329,450600.1537802599,-17.499991900521746,2.4874963760375977,-11.60512802521584,0.7705152034759521,16,-12.709938267844512,10000,3.5105577166717925,-12.693814521408996
114977070.5302475,-7.6129090035170215,479703.22596246185,-17.499991900521746,2.5440406799316406,-11.583289999623616,0.739551305770874,17,-12.562241028263603,10000,3.511871816936553,-12.668775234897678
114862611.07381788,-7.250915125894202,385023475.9205855,-17.499991900521746,2.502105474472046,-11.555735494336487,0.7485823631286621,18,-12.603252446269614,10000,3.4808329826114823,-12.637305271297839
