Itr,NumTrajs,PolicyExecTime,StdReturn,AverageDiscountedReturn,Average greedy latency,EnvExecTime,Average latency,MaxReturn,Average reward,MinReturn,AverageReturn
11,10000,1.5035865306854248,1.7266831005311387,-6.59532894352532,813.5585473423549,0.9494860172271729,1043.9379815744155,-2.3687388709200374,-7.339576634340419,-12.636963935799066,-7.171691518395759
12,10000,1.5009384155273438,1.9523420364055397,-6.930479469119737,833.5363003610476,0.9541311264038086,1083.463600804754,-2.3879226981078037,-7.469226842942188,-13.476914231237034,-7.53797162730786
13,10000,1.5067977905273438,1.79469176358069,-7.141007963059211,820.0124818198069,0.9682388305664062,1138.6764402967453,-2.5042862553478002,-7.834949196605334,-13.592306215072234,-7.769997452241271
14,10000,1.4942076206207275,1.9242630792196047,-6.762410637693628,811.5284345223971,0.9711880683898926,1108.1254313840077,-2.3126856466140056,-7.678664650331856,-14.19416113270648,-7.368890582741764
15,10000,1.5158133506774902,1.7456788488006592,-7.419232478598188,831.5797070911952,0.9703974723815918,1094.4602466148403,-2.974926386873899,-7.591371493778512,-13.816164677058715,-8.077160826885848
16,10000,1.4738068580627441,1.9768505179518672,-6.638295684470227,820.2940335352898,0.9507145881652832,1052.173787111247,-2.3285127025819485,-7.336326994968423,-13.658859843015295,-7.21926351643014
17,10000,1.5071783065795898,1.795559607256624,-6.975001462065866,835.7595825545312,0.940840482711792,1192.7803986779675,-2.5524505799398414,-8.333637272437091,-13.99525832309754,-7.5729906301375625
18,10000,1.4981698989868164,1.4329289698123728,-5.82055657179303,796.6423016538482,0.9263606071472168,922.6501863479015,-2.4613620387153916,-6.40534361719372,-12.28300609641397,-6.3236533211881865
19,10000,1.4977996349334717,1.4164279517044347,-6.36818145805492,818.1398378877503,0.9052014350891113,1031.4987023077883,-2.89679927655505,-7.166241622458815,-13.029107889228102,-6.906854630355921
20,10000,1.4908504486083984,1.3556238527998368,-6.641393670574016,819.2231655072211,0.8548874855041504,1063.4268507801,-3.019377569341262,-7.39663958795361,-12.062657463351433,-7.2061930199729485
21,10000,1.5116431713104248,1.2773992906739668,-7.556060521850572,834.0267645272801,0.8186180591583252,1169.8687770480292,-3.7187173767341677,-8.113470930150418,-12.90308003800238,-8.213887143031615
22,10000,1.4961068630218506,1.2122185308928408,-7.887598112050775,835.7902263125284,0.8089449405670166,1245.4334314692362,-3.934037333646812,-8.604123707261223,-13.8994914531125,-8.575148242953158
23,10000,1.494875192642212,1.5161467185637993,-7.30657094273831,844.8867775973591,0.8455507755279541,1087.9493648577716,-3.4592345714985195,-7.607457491247016,-13.001246567849558,-7.952154296649574
24,10000,1.5109753608703613,1.3929946780341633,-6.388859476935783,806.7728810539381,0.8490321636199951,1030.7093579136767,-2.584932062492226,-7.156521544311216,-12.161820637231743,-6.949803600694504
25,10000,1.4998447895050049,1.6359707182060965,-6.700442128944953,840.0400222184181,0.8937375545501709,993.5618803026173,-3.0957240606765026,-6.876281097741405,-12.839149499496283,-7.272334077826859
26,10000,1.4696121215820312,1.5667527559939032,-6.312043001206275,819.7949349403517,0.9222195148468018,943.8425245935983,-2.4454945625960596,-6.559404148995949,-12.655940729266614,-6.838019427905662
27,10000,1.5098118782043457,1.7698391206396797,-6.847583476080961,825.6605430391038,0.9341561794281006,1037.4433651157733,-2.3619200033073113,-7.272410930463145,-13.044919420037239,-7.404922837951117
28,10000,1.49094557762146,2.1370810119324033,-7.078277309277386,836.4573750286238,0.9532215595245361,1174.6114172076525,-2.3719635634208065,-8.223155564042388,-13.429570165541321,-7.661157509711332
29,10000,1.4857656955718994,1.9168289455951126,-7.819371880555796,828.1659757001061,1.005619764328003,1206.7904925692858,-2.315275558465667,-8.398390992064824,-13.592306215072234,-8.506650873705299
30,10000,1.4943764209747314,2.007575422495638,-7.787689436966488,827.5906391346795,0.9947264194488525,1115.1943355275318,-2.4947974336408074,-7.803166243715485,-13.919832025671232,-8.486289638958233
31,10000,1.4944493770599365,1.8493825045321302,-8.439987664773572,846.7973619208881,0.9928081035614014,1345.0903721294624,-2.417532929940672,-9.323800405465557,-13.919832025671232,-9.187448594583412
32,10000,1.4884328842163086,2.2111939581465587,-7.697318468986402,829.9206690477235,0.9919276237487793,1236.2182805987222,-2.2049931433757903,-8.69222007455344,-13.785602198840202,-8.392682470168515
33,10000,1.5060491561889648,2.131862448693552,-7.832479784393429,831.1953956633431,0.993257999420166,1246.353478010074,-2.2670284378237118,-8.638719588836567,-13.785602198840202,-8.548049225965274
