PolicyExecTime,Itr,Average reward,NumTrajs,Average latency,EnvExecTime,AverageReturn,AverageDiscountedReturn,MaxReturn,Average greedy latency,MinReturn,StdReturn
1.2247586250305176,319,-11.431081289546844,5000,601436741.8910058,0.4063565731048584,-11.431081289546844,-10.5430148554479,-6.6767113006024505,420443996.46725076,-17.710935209615947,3.0041667362000464
1.2297718524932861,320,-11.568900456008592,5000,588596250.2689836,0.39357948303222656,-11.568900456008592,-10.660816223406174,-6.709833221246874,420443996.4672507,-17.499829089879196,3.048216369183887
1.230910301208496,321,-11.744848925299793,5000,614879823.1534978,0.39213132858276367,-11.744848925299793,-10.811400792794492,-6.915338227428367,420443996.4672509,-17.499993271696958,3.1069328349176657
1.2107019424438477,322,-11.925337393717705,5000,628314207.894638,0.3891785144805908,-11.925337393717705,-10.965483001323726,-6.934859433080027,420443996.4672509,-17.639992540907702,3.1795215633604927
1.2359347343444824,323,-12.107098770083116,5000,635035550.4880687,0.38725733757019043,-12.107098770083114,-11.121184938238343,-6.736992536978506,420443996.46725076,-17.499993271696958,3.251373033795989
1.2329955101013184,324,-12.271744831949775,5000,638403777.1167276,0.38288426399230957,-12.271744831949775,-11.260861343836266,-6.886517715575574,420443996.4672509,-17.499993271696958,3.313228212669319
1.2200913429260254,325,-12.372161315734639,5000,628341840.6295965,0.38072800636291504,-12.372161315734639,-11.34658798809931,-7.115179937498042,420443996.4672507,-17.499993271696958,3.33690624356643
1.2301044464111328,326,-12.508894038244074,5000,658551345.5800034,0.3745696544647217,-12.508894038244074,-11.462515109056675,-7.342811545020157,420443996.4672507,-17.499993271696958,3.3956837292336552
1.2444372177124023,327,-12.576861385779166,5000,665267962.5403115,0.3771378993988037,-12.576861385779166,-11.520077261924065,-6.953857459220049,420443996.4672509,-17.499993271696958,3.423042470511235
1.224395990371704,328,-12.634914088515183,5000,668627302.0509973,0.37769556045532227,-12.634914088515183,-11.569069201539861,-7.566935277668387,420443996.46725094,-17.499993271696958,3.444849639298125
1.2392089366912842,329,-12.652859764426069,5000,658559478.3136618,0.418367862701416,-12.652859764426067,-11.584445983316126,-7.517681937617526,420443996.4672509,-17.499993271696958,3.4460894926908807
1.24467134475708,330,-12.65726988596345,5000,661916440.6347752,0.37450551986694336,-12.65726988596345,-11.588287168468543,-7.517681937617526,420443996.4672509,-17.499993271696958,3.44934022347067
1.2086176872253418,331,-12.655619063950088,5000,665272940.8897799,0.3737523555755615,-12.65561906395009,-11.586899439812944,-7.421720067873847,420443996.4672507,-17.499993271696958,3.45017606919123
1.2400100231170654,332,-12.648893479896492,5000,665274533.7390599,0.4057731628417969,-12.648893479896492,-11.581336836949191,-7.391234785811831,420443996.4672509,-17.499993271696958,3.4473253750750787
1.2404217720031738,333,-12.613581193252939,5000,661914407.6835275,0.37840890884399414,-12.613581193252939,-11.551857821193376,-7.3948936587772245,420443996.46725076,-17.499993271696958,3.43565405732776
1.2241566181182861,334,-12.550982410128212,5000,665267054.2098105,0.3797488212585449,-12.55098241012821,-11.49931459138055,-7.268446506971529,420443996.46725094,-17.499993271696958,3.3973890868823124
1.218883752822876,335,-12.449455780970407,5000,648480302.3845367,0.3792264461517334,-12.449455780970407,-11.41391661923463,-7.421720067873847,420443996.46725076,-18.211888829189668,3.350342856792674
1.2401454448699951,336,-12.267359730433,5000,631691805.4933223,0.38449645042419434,-12.267359730433,-11.260393969998145,-7.219193166920669,420443996.46725076,-17.499993271696958,3.2718653404281537
1.193558931350708,337,-12.087889141124158,5000,635034210.9060761,0.3861255645751953,-12.087889141124158,-11.1084050145976,-6.9975598745664085,420443996.4672507,-17.499993271696958,3.2058778456969637
