EnvExecTime,NumTrajs,Itr,AverageDiscountedReturn,StdReturn,PolicyExecTime,MinReturn,Average latency,AverageReturn,Average reward,Average greedy latency,MaxReturn
0.94181227684021,10000,367,-5.560713154975067,1.4652600264895683,2.474907636642456,-10.982941395908473,879.7925675319262,-6.001737516248941,-6.075215664757457,831.0168139391218,-2.5042862553478
0.9379098415374756,10000,368,-5.8905969798051725,1.3780217931957435,2.4636666774749756,-10.982941395908473,949.5668496724319,-6.353256941043479,-6.643663602946032,842.0400557890348,-2.6015568290034516
0.9464597702026367,10000,369,-5.304189383680652,1.2649225614181914,2.45617938041687,-10.151017078261898,806.3470203472001,-5.737724249783752,-5.576557075159454,810.3638971136775,-2.561527990706446
0.9701893329620361,10000,370,-5.8007946611212144,1.3203916366436121,2.4566667079925537,-10.419842836462204,847.4639998388346,-6.258333046774926,-5.869207159717409,830.6074025536947,-2.423577491772347
0.9536244869232178,10000,371,-5.660445885366682,1.5138179785538826,2.4874112606048584,-11.060972215967881,804.6586008353479,-6.109989458782708,-5.5124225877370225,839.7588406838826,-2.4129125849860804
0.9487128257751465,10000,372,-5.138699320275351,1.1365721231693144,2.489304780960083,-9.512953869563605,792.1259811813981,-5.552366546333913,-5.509598295429754,800.2227878923144,-2.4129125849860804
0.9543333053588867,10000,373,-5.5415778123808135,1.3918469556630226,2.463897705078125,-10.403391707187415,869.6326156175859,-5.988061213144576,-6.031026120260987,826.6507199472154,-2.346473720632815
0.9546303749084473,10000,374,-5.416285752834191,1.343345586894858,2.4764516353607178,-10.709638963654958,864.1839284517044,-5.843152579943217,-5.938276705479704,818.1095723098483,-2.415165299692366
0.9597275257110596,10000,375,-5.604337331249987,1.4801269477880452,2.4840469360351562,-10.709638963654958,826.0352603703772,-6.052105275786383,-5.6845857181298145,835.6641932239805,-2.3296369283328575
0.9656221866607666,10000,376,-5.79804277843013,1.3165984008767402,2.476275682449341,-10.337559034065897,874.520844856224,-6.259335436846194,-6.138886096196332,831.5247262745993,-2.628184461664705
0.9588460922241211,10000,377,-5.040705489703497,1.2835241107940374,2.469890832901001,-9.916527553572358,724.0474666080121,-5.447091068807768,-4.960587730816141,805.4812450997354,-2.2666054850130988
0.9547760486602783,10000,378,-5.736299255858014,1.4258029181005125,2.477321147918701,-10.336664923364019,897.3007346640125,-6.186830034717998,-6.2356543598831795,835.4903755081858,-2.2023678558064854
0.9607462882995605,10000,379,-5.514056925289532,1.3410774071252982,2.4609556198120117,-9.916512809804226,776.3673889336912,-5.952441690321045,-5.382010014764874,821.2604962186268,-2.542511146379291
0.9482369422912598,10000,380,-5.603134973712944,1.4486393141354614,2.482542037963867,-10.858019431218658,900.9178568080358,-6.051462818290583,-6.266394802214063,833.6621792529786,-2.5226319052406234
0.9475932121276855,10000,381,-5.32616689232678,1.325421165205092,2.5047340393066406,-10.595755199488211,882.9179543971362,-5.7590319799760215,-6.132421681223059,815.9379218196871,-2.3599491169418902
0.9501311779022217,10000,382,-5.565388167133196,1.362669915734925,2.477520227432251,-10.634314195292657,914.6536775236376,-6.007611726491144,-6.367591935649709,826.6011679616247,-2.3590911597988944
0.9627435207366943,10000,383,-5.299199578943239,1.3830298491958333,2.4970266819000244,-10.918245853062203,887.0481557223156,-5.73051086022979,-6.1233039474962725,820.9895497876439,-2.4129125849860804
0.9456484317779541,10000,384,-5.439520137193554,1.4904487553808448,2.480260133743286,-11.443658255207723,793.9775939894731,-5.872277252522543,-5.488935090054409,827.3088130563056,-2.4129125849860804
0.9594955444335938,10000,385,-5.499280588044964,1.3548376221097134,2.504021406173706,-10.151017078261898,848.0191160958044,-5.943529120411037,-5.79898685667804,826.3747948881694,-2.4129125849860804
0.9496197700500488,10000,386,-5.5180375506729,1.3527509387799488,2.5011069774627686,-10.710987175628079,910.4063601297896,-5.962295145793453,-6.287046946251478,824.3656863340786,-2.5058917260453515
0.9350345134735107,10000,387,-5.5610526184594775,1.4851103448709546,2.463291645050049,-10.917457203740236,931.8126133036178,-6.001020778807877,-6.458884226146857,834.4004073619026,-2.4129125849860804
0.9631056785583496,10000,388,-5.230711910295957,1.3716188384714136,2.486117362976074,-10.708552088055335,744.9789998852812,-5.651828303516259,-5.168598613919638,817.1945688206264,-2.415165299692366
