StdReturn,Average reward,AverageReturn,Average latency,MaxReturn,AverageDiscountedReturn,PolicyExecTime,Average greedy latency,MinReturn,EnvExecTime,NumTrajs,Itr
3.0015378647295017,-8.729288599956016,-8.729288599956016,1083727.3616831668,-2.349133913441846,-8.015460103201347,1.2233457565307617,922540.6072220656,-18.06183754194233,0.4480562210083008,5000,0
2.672802443777987,-8.207836780887083,-8.207836780887083,1019609.2387294697,-2.5470097394569993,-7.56259402570944,1.2258780002593994,922540.6072220654,-17.961106223280943,0.46878981590270996,5000,1
2.65601070154151,-8.417190956212554,-8.417190956212554,1057099.382783784,-3.0240032271384614,-7.751748132934842,1.2404134273529053,922540.6072220654,-17.53049789397964,0.4413919448852539,5000,2
2.6904974774509185,-8.68325742882776,-8.68325742882776,1092298.0269219654,-2.811220464914851,-7.993930148232714,1.2190444469451904,922540.6072220654,-17.124508583003973,0.439633846282959,5000,3
2.7288191693890274,-9.005066793824051,-9.005066793824051,1126546.291624476,-3.3037589381706054,-8.284002293947546,1.2352406978607178,922540.6072220654,-18.101732659057987,0.4452176094055176,5000,4
2.7758025040831735,-9.217288898926002,-9.217288898926002,1147779.1424672857,-3.0631076004458313,-8.47314359694395,1.238156795501709,922540.6072220654,-18.75274609802645,0.42113709449768066,5000,5
2.778478862331747,-9.340448082135211,-9.340448082135211,1159113.8188708534,-3.2644928731743397,-8.584848116550123,1.242445468902588,922540.6072220654,-18.139258311359363,0.4241020679473877,5000,6
2.862460696099976,-9.466352933552562,-9.466352933552562,1177691.498154258,-3.559059119327501,-8.696154172415632,1.2165477275848389,922540.6072220653,-18.490427109570973,0.4212629795074463,5000,7
2.9423958626635005,-9.926332554885718,-9.926332554885718,1239631.7097927288,-3.239866688912374,-9.112031232135065,1.2154996395111084,922540.6072220654,-18.49018626993372,0.4116780757904053,5000,8
3.011473333442523,-10.381896602251407,-10.381896602251405,1294991.903025,-4.2576077226933435,-9.522820821854678,1.223743200302124,922540.6072220653,-18.724920760344716,0.4055333137512207,5000,9
3.1074667452032063,-10.788484097074114,-10.788484097074114,1344783.4230465589,-4.505645767997966,-9.889798992701454,1.2418944835662842,922540.6072220654,-18.26845299926814,0.39821887016296387,5000,10
3.1757855200859346,-11.207892768957779,-11.207892768957779,1395443.834660768,-4.57666601000536,-10.268427406616835,1.212893009185791,922540.6072220654,-18.752746098026446,0.39356565475463867,5000,11
3.2903174674254623,-11.582111630715872,-11.582111630715872,1444163.1297263626,-5.097205564484956,-10.607047625306365,1.2290587425231934,922540.6072220653,-18.924264634027168,0.3895127773284912,5000,12
3.3128291914325025,-11.777457461356228,-11.777457461356228,1470442.9198715962,-5.248513378627935,-10.782562910639006,1.239253282546997,922540.6072220653,-18.92491834232201,0.38848233222961426,5000,13
3.353162987622201,-12.02901545508034,-12.02901545508034,1496555.252994991,-6.05864312921604,-11.007647155784626,1.2262654304504395,922540.6072220654,-18.236897376940007,0.38636159896850586,5000,14
3.423454732611938,-12.2576226230944,-12.2576226230944,1526580.8036909413,-6.34397781024177,-11.215238638617132,1.2360541820526123,922540.6072220653,-18.212377799263624,0.3827838897705078,5000,15
3.42250991577044,-12.361546121334051,-12.361546121334051,1540982.384869397,-6.3884957800053,-11.308315336511852,1.2389252185821533,922540.6072220653,-18.627561207597417,0.37813282012939453,5000,16
3.4642373840975904,-12.520730984339986,-12.520730984339986,1559700.5782059135,-7.103344853743731,-11.452911477802802,1.2178480625152588,922540.6072220654,-18.824196227330983,0.37630414962768555,5000,17
3.4692931708218153,-12.574490659819322,-12.574490659819322,1568596.7346282357,-7.009545275889967,-11.501723665054199,1.219585657119751,922540.6072220653,-18.23709829713112,0.37647509574890137,5000,18
3.4794740555082466,-12.64659479814667,-12.64659479814667,1577052.5124373545,-7.18866617755105,-11.566831100575937,1.24755859375,922540.6072220653,-18.211888829189668,0.376187801361084,5000,19
3.488002594953145,-12.693295600897898,-12.693295600897898,1581971.3809032266,-6.784218897554119,-11.609678121644054,1.2282795906066895,922540.6072220653,-18.212377799263624,0.4023458957672119,5000,20
3.502197496892146,-12.725286950302628,-12.725286950302628,1587937.444574769,-7.284125819186147,-11.638658356401718,1.2351579666137695,922540.6072220654,-18.336362747972245,0.37006402015686035,5000,21
3.503777856498327,-12.749872637774061,-12.749872637774061,1588398.1353982345,-7.2888626945140755,-11.661204852083603,1.235116958618164,922540.6072220654,-18.21236422037264,0.37259411811828613,5000,22
3.5005848518796068,-12.757493744126242,-12.757493744126245,1590889.8294569813,-7.131075934307618,-11.66807658792078,1.2232511043548584,922540.6072220654,-18.211277240300987,0.3725006580352783,5000,23
3.5039503132375476,-12.766660895372208,-12.766660895372208,1592942.300292859,-7.689145354254397,-11.676709269165576,1.2321183681488037,922540.6072220654,-18.111208833604806,0.3706974983215332,5000,24
3.5051325428545366,-12.77725089705914,-12.77725089705914,1594572.6228302247,-7.689145354254397,-11.686637298056977,1.2404100894927979,922540.6072220652,-18.0148517855248,0.40024495124816895,5000,25
3.5075125394500866,-12.780364700086217,-12.780364700086217,1593942.7737465128,-7.689145354254397,-11.689400978888994,1.2143914699554443,922540.6072220653,-17.499877923726746,0.3700268268585205,5000,26
3.5075306518873104,-12.783776025144931,-12.783776025144931,1594717.0466259178,-7.689145354254397,-11.692623079062098,1.2068021297454834,922540.6072220654,-17.499877923726746,0.37418532371520996,5000,27
3.507529987433837,-12.784619246527031,-12.784619246527031,1594926.0439756599,-7.689145354254397,-11.69340102937174,1.2265596389770508,922540.6072220653,-17.499877923726746,0.3717961311340332,5000,28
